Basis	Premise	Hypothesis	True Label	New Premise	New Label
Incorrect	Four children playing at a preschool, one looking out the window, one is running, and the other two are playing with wooden blocks.	The children are sad because it is raining.	2	Four children are not playing at a preschool, one is looking out the window, one is running, and the other two are cleaning up wooden blocks.	1
Incorrect	Three children, two boys and one girl, are standing behind bars with their mouths open like they are screaming.	The children scream as a monster jumps out	1	Two men and one woman, are standing behind bars with their mouths open like they are screaming.	2
Incorrect	A woman dressed in a black shirt with purple bikini bottoms is playing volleyball in a fenced in area.	a woman is playing voleyball	0	A woman dressed in a black shirt with purple bikini bottoms is participating in the volleyball match in a fenced in area.	0
Incorrect	Military troops are gathered together and some are using tongs to turn over a variety of food on grill racks over coals.	Troops are marching	2	To turn over a variety of food on grill racks over coals, military troops are gathered together.	2
Incorrect	A man in an apron sits at a table in front of a restaurant, while another man crosses the street with a purple gift bag and rolling luggage.	Two men pull luggage across the street, while wearing aprons.	2	There are two men, one crosses the street with a purple gift bag and rolling luggage, the other is in an apron sits at a table in front of a restaurant	2
Incorrect	A bride wearing her bridal gown is taking pictures with her colorful wedding bouquet in front of cows.	A bride is taking pictures at a barn.	0	A bride wearing her bridal gown is feeding some cows while taking pictures with her colorful wedding bouquet.	0
Incorrect	Woman driving in a red convertible with another girl in the passenger seat and a guy in a suit in the backseat, driving past a group of people.	The convertible splashed through a puddle of water that soaked the other group of people.	1	Woman sitting in a red convertible with another girl in the passenger seat and a guy in a suit in the backseat, parked a group of people.	2
Incorrect	A man in a gray sweatshirt and blue jeans is pulling on a rope while a guy in a white shirt and black jeans watches him.	the two men were pulling on the rope	2	A man in a gray sweatshirt and blue jeans is pulling on a rope while a guy in a white shirt and black jeans neglects him.	2
Incorrect	At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.	A crowd is in front of a camera	1	At an outdoor event in an Asian-themed area, a crowd congregates with one person in a yellow Chinese dragon costume confronting the camera.	1
Incorrect	There is a woman here in a children's room, wearing a red vest, with her hand in a fake sharks mouth.	The woman is demonstrating a shark bite.	1	Wearing a red vest, with her hand in a fake sharks mouth, there is a woman here in a children's room.	1
Incorrect	A man in a bar drinks from a pitcher while a man in a green hat looks on and a woman in a black shirt drink from a glass.	The women is drinking water.	1	A man in a on a hot summer day drinks from a pitcher of water while a man in a green hat looks on and a woman in a black shirt drink from a glass.	1
Incorrect	A male hiker wearing a brown hat is standing next to a triangular monument on the top of a mountain.	A man exercises outdoors.	1	On the top of a mountain, a male hiker wearing a brown hat is sitting next to a triangular monument.	1
Incorrect	Very young boy standing in front of a bride and groom, wearing a suit and holding a ring-bearer's pillow.	A funny standing	2	Wearing a suit and holding a ring-bearer's pillow, a very young boy grins in front of a bride and groom.	1
Incorrect	A man drives a motorcycle, with a woman in an orange sari and a young girl in a blue dress riding in the backseat.	A woman in an orange sari is a passenger on a motor cycle.	0	A woman in an orange sari and a young girl in a blue dress enjoying the backseat as a man drives the motorcycle.	0
Incorrect	A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal.	a girl wants to score a goal	0	A girl in a green jersey top and blue shorts runs to kick the soccer ball towards the net.	0
Incorrect	A woman with blond-hair and blue boots walks among a crowd of other pedestrians on a city street, looking up at something.	A woman is watching a plane fly overhead.	1	A woman with blond-hair and blue boots walks among a crowd of animals in the country, looking up at something.	1
Incorrect	Four people, One male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a white shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.	Four people, One male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a blue shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.	2	One female in a pink hold paper is on the phone, there are three females and one male, one with a white shirt and blue blouse, one in blue, one in pink, and the last one is wearing a blue shirt with slacks, they in line to enter a yellow school bus.	2
Incorrect	Four men are playing soccer, two in white jerseys, one in a red jersey and a goalie in the background.	Two opposing teams that are playing soccer have colorful jerseys.	0	Three men are playing soccer, two in white jerseys, one in a red jersey.	2
Incorrect	Two young girls have fun on a trampoline, one of which appears to be falling down onto her back while the other poses with a smile behind her.	Two young girls have fun on a trampoline, one of which appears to be falling down onto her back while the other poses with a smile behind her and waving.	1	Two young girls bounce on a trampoline both are waving, one of which appears to be falling down onto her back while the other poses for a photo.	1
Incorrect	Several people mill around a sidewalk in front of a building looking as police put up crime scene tape.	Several people saw a crime committed.	1	As police put up crime scene tape, Several people run on a sidewalk in front of a building.	1
Incorrect	A group of 5 girls in school uniforms are standing together and waiting to cross the street while one girl takes a picture.	The girls' uniforms are solid white.	1	A group of 5 girls in school uniforms are standing together and waiting to cross the street while one falls into mud, staining her clean uniform.	1
Incorrect	A man wearing blue jeans and a black shirt is talking to a man wearing white shorts while they are sitting outside in folding chairs on a patio.	the woman is white	2	A man wearing a white shirt and white pants is meeting a man wearing white shorts while they are sitting outside in white folding chairs on a white brick patio.	2
